Player,Country,Season,Cum Mat Total,Cum Inns Total,Cum Runs Total,Cum Batting Ave,Cum SR,player_id
A Ahmadhel,Bulgaria,2019/20,0,0,0,0.0,0.0,55a5cffb
A Ahmadhel,Bulgaria,2020,3,2,16,8.0,100.0,55a5cffb
A Ahmadhel,Bulgaria,2020/21,4,3,24,8.0,100.0,55a5cffb
A Ahmadhel,Bulgaria,2021,6,4,26,6.5,82.14,55a5cffb
A Ahmadhel,Bulgaria,2023,9,7,31,4.43,63.42,55a5cffb
A Ahmadhel,Bulgaria,2024,11,7,31,4.43,63.42,55a5cffb
A Amado,Israel,2022,0,0,0,0.0,0.0,14ea3348
A Andrews,Switzerland,2021/22,0,0,0,0.0,0.0,1d45c01a
A Andrews,Switzerland,2022,3,1,0,0.0,0.0,1d45c01a
A Ashok,New Zealand,2023,0,0,0,0.0,0.0,321be7e3
A Ashokan,Czech Republic,2019/20,0,0,0,0.0,0.0,9244df4b
A Ashokan,Czech Republic,2020,2,2,41,20.5,141.37,9244df4b
A Ashokan,Czech Republic,2021,6,6,92,15.33,110.08,9244df4b
A Ashokan,Czech Republic,2022,13,13,243,23.34,108.88,9244df4b
A Ashokan,Czech Republic,2023,28,27,612,30.37,116.41,9244df4b
A Athanaze,West Indies,2024,0,0,0,0.0,0.0,58c2fac4
A Bagai,Canada,2008,0,0,0,0.0,0.0,112959b2
A Bagai,Canada,2009/10,3,3,24,12.0,92.3,112959b2
A Bagai,Canada,2013/14,7,7,169,25.86,107.47,112959b2
A Balbirnie,Ireland,2015,0,0,0,0.0,0.0,6ef13460
A Balbirnie,Ireland,2015/16,7,4,77,19.25,98.71,6ef13460
A Balbirnie,Ireland,2018,10,7,84,12.0,75.16,6ef13460
A Balbirnie,Ireland,2018/19,16,13,189,14.54,100.29,6ef13460
A Balbirnie,Ireland,2019,22,19,366,19.26,114.06,6ef13460
A Balbirnie,Ireland,2019/20,26,23,523,25.01,126.35,6ef13460
A Balbirnie,Ireland,2021,43,39,945,26.29,124.69,6ef13460
A Balbirnie,Ireland,2021/22,51,47,1082,24.73,123.92,6ef13460
