Player,Country,Season,Cumulative Mat,Cumulative Inns,Cumulative Overs,Cumulative Runs,Cumulative Wkts,Cumulative Econ,player_id
A Ahmadhel,Bulgaria,2019/20,0,0.0,0.0,0.0,0.0,0.0,55a5cffb
A Ahmadhel,Bulgaria,2020,3,3.0,10.0,75.0,3.0,7.5,55a5cffb
A Ahmadhel,Bulgaria,2020/21,4,4.0,12.0,97.0,4.0,8.38,55a5cffb
A Ahmadhel,Bulgaria,2021,6,6.0,14.400000095367432,124.0,6.0,8.96,55a5cffb
A Ahmadhel,Bulgaria,2023,9,8.0,17.40000009536743,155.0,6.0,9.3,55a5cffb
A Ahmadhel,Bulgaria,2024,11,8.0,17.40000009536743,155.0,6.0,9.3,55a5cffb
A Amado,Israel,2022,0,0.0,0.0,0.0,0.0,0.0,14ea3348
A Andrews,Switzerland,2021/22,0,0.0,0.0,0.0,0.0,0.0,1d45c01a
A Andrews,Switzerland,2022,3,3.0,10.0,61.0,4.0,6.1,1d45c01a
A Ashok,New Zealand,2023,0,0.0,0.0,0.0,0.0,0.0,321be7e3
A Ashokan,Czech Republic,2019/20,0,0.0,0.0,0.0,0.0,0.0,9244df4b
A Ashokan,Czech Republic,2020,2,1.0,2.0,16.0,0.0,8.0,9244df4b
A Ashokan,Czech Republic,2021,6,5.0,10.5,113.0,2.0,10.38,9244df4b
A Ashokan,Czech Republic,2022,13,10.0,22.5,217.0,3.0,9.52,9244df4b
A Ashokan,Czech Republic,2023,28,22.0,62.5,528.0,14.0,8.57,9244df4b
A Athanaze,West Indies,2024,0,0.0,0.0,0.0,0.0,0.0,58c2fac4
A Bagai,Canada,2008,0,0.0,0.0,0.0,0.0,0.0,112959b2
A Bagai,Canada,2009/10,3,0.0,0.0,0.0,0.0,0.0,112959b2
A Bagai,Canada,2013/14,7,0.0,0.0,0.0,0.0,0.0,112959b2
A Balbirnie,Ireland,2015,0,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,Ireland,2015/16,7,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,Ireland,2018,10,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,Ireland,2018/19,16,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,Ireland,2019,22,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,Ireland,2019/20,26,0.0,0.0,0.0,0.0,0.0,6ef13460
