Player,Country,Season,Cumulative Mat,Cumulative Inns,Cumulative Dis,Cumulative Ct,Cumulative St,Cumulative D/I,player_id
A Ahmadhel,Bulgaria,2019/20,0,0.0,0.0,0.0,0.0,0.0,55a5cffb
A Ahmadhel,Bulgaria,2020,3,3.0,0.0,0.0,0.0,0.0,55a5cffb
A Ahmadhel,Bulgaria,2020/21,4,4.0,0.0,0.0,0.0,0.0,55a5cffb
A Ahmadhel,Bulgaria,2021,6,6.0,0.0,0.0,0.0,0.0,55a5cffb
A Ahmadhel,Bulgaria,2023,9,9.0,0.0,0.0,0.0,0.0,55a5cffb
A Ahmadhel,Bulgaria,2024,11,10.0,0.0,0.0,0.0,0.0,55a5cffb
A Amado,Israel,2022,0,0.0,0.0,0.0,0.0,0.0,14ea3348
A Andrews,Switzerland,2021/22,0,0.0,0.0,0.0,0.0,0.0,1d45c01a
A Andrews,Switzerland,2022,3,3.0,4.0,4.0,0.0,1.33,1d45c01a
A Ashok,New Zealand,2023,0,0.0,0.0,0.0,0.0,0.0,321be7e3
A Ashokan,Czech Republic,2019/20,0,0.0,0.0,0.0,0.0,0.0,9244df4b
A Ashokan,Czech Republic,2020,2,2.0,1.0,1.0,0.0,0.5,9244df4b
A Ashokan,Czech Republic,2021,6,6.0,3.0,3.0,0.0,0.5,9244df4b
A Ashokan,Czech Republic,2022,13,13.0,6.0,6.0,0.0,0.46,9244df4b
A Ashokan,Czech Republic,2023,28,28.0,11.0,11.0,0.0,0.39,9244df4b
A Athanaze,West Indies,2024,0,0.0,0.0,0.0,0.0,0.0,58c2fac4
A Bagai,Canada,2008,0,0.0,0.0,0.0,0.0,0.0,112959b2
A Bagai,Canada,2009/10,3,3.0,5.0,2.0,3.0,1.67,112959b2
A Bagai,Canada,2013/14,7,7.0,7.0,3.0,4.0,1.0,112959b2
A Balbirnie,Ireland,2015,0,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,Ireland,2015/16,7,5.0,1.0,1.0,0.0,0.2,6ef13460
A Balbirnie,Ireland,2018,10,8.0,3.0,3.0,0.0,0.38,6ef13460
A Balbirnie,Ireland,2018/19,16,14.0,5.0,5.0,0.0,0.36,6ef13460
A Balbirnie,Ireland,2019,22,20.0,7.0,7.0,0.0,0.35,6ef13460
A Balbirnie,Ireland,2019/20,26,24.0,10.0,10.0,0.0,0.42,6ef13460
A Balbirnie,Ireland,2021,43,41.0,16.0,16.0,0.0,0.39,6ef13460
A Balbirnie,Ireland,2021/22,51,49.0,23.0,23.0,0.0,0.47,6ef13460
A Balbirnie,Ireland,2022,67,65.0,28.0,28.0,0.0,0.43,6ef13460
A Balbirnie,Ireland,2022/23,79,77.0,30.0,30.0,0.0,0.39,6ef13460
A Balbirnie,Ireland,2023,89,87.0,32.0,32.0,0.0,0.37,6ef13460
A Balbirnie,Ireland,2023/24,95,93.0,36.0,36.0,0.0,0.39,6ef13460
A Balbirnie,Ireland,2024,101,99.0,39.0,39.0,0.0,0.39,6ef13460
A Bhadauria,Luxembourg,2022,0,0.0,0.0,0.0,0.0,0.0,a74bbdad
A Bhagwat,Hong Kong,2019/20,0,0.0,0.0,0.0,0.0,0.0,906ef9e5
A Bhargava,Singapore,2022,0,0.0,0.0,0.0,0.0,0.0,192f2caf
A Bhargava,Singapore,2023,2,2.0,0.0,0.0,0.0,0.0,192f2caf
A Bhattarai,Nepal,2014/15,0,0.0,0.0,0.0,0.0,0.0,2c2013a9
A Bishnoi,Malta,2021,0,0.0,0.0,0.0,0.0,0.0,376557f7
A Bishnoi,Malta,2023,7,7.0,1.0,1.0,0.0,0.14,376557f7
A Bohara,Nepal,2018/19,0,0.0,0.0,0.0,0.0,0.0,64fb6b15
A Bohara,Nepal,2019,3,3.0,0.0,0.0,0.0,0.0,64fb6b15
A Bohara,Nepal,2019/20,8,8.0,3.0,3.0,0.0,0.38,64fb6b15
A Bohara,Nepal,2021,20,20.0,5.0,5.0,0.0,0.25,64fb6b15
A Bohara,Nepal,2021/22,24,24.0,6.0,6.0,0.0,0.25,64fb6b15
A Bohara,Nepal,2023,36,36.0,7.0,7.0,0.0,0.19,64fb6b15
A Bohara,Nepal,2023/24,39,39.0,8.0,8.0,0.0,0.21,64fb6b15
A Bohara,Nepal,2024,53,53.0,11.0,11.0,0.0,0.21,64fb6b15
A Bulow,Denmark,2019,0,0.0,0.0,0.0,0.0,0.0,16f4cc7e
A Bushell,Guernsey,2023,0,0.0,0.0,0.0,0.0,0.0,2d645c00
A Chaubey,Croatia,2024,0,0.0,0.0,0.0,0.0,0.0,c577d7d4
A Chaudhary,Singapore,2023/24,0,0.0,0.0,0.0,0.0,0.0,465fd722
A Chaudhary,Singapore,2024,3,3.0,0.0,0.0,0.0,0.0,465fd722
A Conteh,Gambia,2022/23,0,0.0,0.0,0.0,0.0,0.0,97b9cb64
A Conteh,Gambia,2023/24,7,7.0,2.0,2.0,0.0,0.29,97b9cb64
A Dananjaya,Sri Lanka,2012/13,0,0.0,0.0,0.0,0.0,0.0,5b16a806
A Dananjaya,Sri Lanka,2017,5,5.0,1.0,1.0,0.0,0.2,5b16a806
A Dananjaya,Sri Lanka,2017/18,6,6.0,1.0,1.0,0.0,0.17,5b16a806
A Dananjaya,Sri Lanka,2018,15,15.0,5.0,5.0,0.0,0.33,5b16a806
A Dananjaya,Sri Lanka,2018/19,16,16.0,5.0,5.0,0.0,0.31,5b16a806
A Dananjaya,Sri Lanka,2019,19,19.0,5.0,5.0,0.0,0.26,5b16a806
A Dananjaya,Sri Lanka,2020/21,22,22.0,5.0,5.0,0.0,0.23,5b16a806
A Dananjaya,Sri Lanka,2021,25,25.0,7.0,7.0,0.0,0.28,5b16a806
A Dananjaya,Sri Lanka,2023/24,31,31.0,7.0,7.0,0.0,0.23,5b16a806
A Davidson Soler,Spain,2024,0,0.0,0.0,0.0,0.0,0.0,524943f1
A Daxini,Croatia,2023,0,0.0,0.0,0.0,0.0,0.0,2f949d55
A Denuwan,Italy,2022/23,0,0.0,0.0,0.0,0.0,0.0,96912eac
A Dhingra,Luxembourg,2021,0,0.0,0.0,0.0,0.0,0.0,753ada66
A Dhingra,Luxembourg,2022,3,3.0,1.0,1.0,0.0,0.33,753ada66
A Dhingra,Luxembourg,2023,10,10.0,2.0,2.0,0.0,0.2,753ada66
A Dhingra,Luxembourg,2023/24,17,17.0,2.0,2.0,0.0,0.12,753ada66
A Dizija,Serbia,2022,0,0.0,0.0,0.0,0.0,0.0,6483c062
A Dizija,Serbia,2023,10,10.0,2.0,2.0,0.0,0.2,6483c062
A Dizija,Serbia,2023/24,14,13.0,2.0,2.0,0.0,0.15,6483c062
A Dizija,Serbia,2024,16,15.0,2.0,2.0,0.0,0.13,6483c062
A Djorovic,Serbia,2019/20,0,0.0,0.0,0.0,0.0,0.0,677c18f9
A Djorovic,Serbia,2021,2,2.0,0.0,0.0,0.0,0.0,677c18f9
A Djorovic,Serbia,2022,6,6.0,0.0,0.0,0.0,0.0,677c18f9
A Djorovic,Serbia,2023/24,9,9.0,2.0,2.0,0.0,0.22,677c18f9
A Donovan,Philippines,2024,0,0.0,0.0,0.0,0.0,0.0,02888f23
A Dowling,Bulgaria,2024,0,0.0,0.0,0.0,0.0,0.0,ec064d97
A Dutt,Netherlands,2021,0,0.0,0.0,0.0,0.0,0.0,803dbf1d
A Dutt,Netherlands,2022,4,4.0,0.0,0.0,0.0,0.0,803dbf1d
A Dutt,Netherlands,2023/24,5,5.0,1.0,1.0,0.0,0.2,803dbf1d
A Dutt,Netherlands,2024,9,9.0,1.0,1.0,0.0,0.11,803dbf1d
A Faletar,Croatia,2023,0,0.0,0.0,0.0,0.0,0.0,b8889eb7
A Ferguson,Argentina,2019/20,0,0.0,0.0,0.0,0.0,0.0,4a8d1b14
A Ferguson,Argentina,2021/22,5,5.0,2.0,2.0,0.0,0.4,4a8d1b14
A Ferguson,Argentina,2022/23,11,11.0,3.0,3.0,0.0,0.27,4a8d1b14
A Ferguson,Argentina,2023/24,17,17.0,5.0,5.0,0.0,0.29,4a8d1b14
A Flintoff,England,2005,0,0.0,0.0,0.0,0.0,0.0,ddc0828d
A Flintoff,England,2006/07,1,1.0,1.0,1.0,0.0,1.0,ddc0828d
A Flintoff,England,2007/08,2,2.0,1.0,1.0,0.0,0.5,ddc0828d
A Gasteratos,Greece,2022,0,0.0,0.0,0.0,0.0,0.0,e87c009a
A Gasteratos,Greece,2024,2,2.0,0.0,0.0,0.0,0.0,e87c009a
A Gavde,Cayman Islands,2019,0,0.0,0.0,0.0,0.0,0.0,c725d464
A Gbla,Sierra Leone,2021/22,0,0.0,0.0,0.0,0.0,0.0,34ab1e6e
A Gbla,Sierra Leone,2022/23,8,8.0,0.0,0.0,0.0,0.0,34ab1e6e
A Gbla,Sierra Leone,2023/24,15,15.0,1.0,1.0,0.0,0.07,34ab1e6e
A Gorawara,Hong Kong,2022/23,0,0.0,0.0,0.0,0.0,0.0,c6b11959
A Gorawara,Hong Kong,2023/24,2,2.0,2.0,2.0,0.0,1.0,c6b11959
A Gorawara,Hong Kong,2024,3,3.0,2.0,2.0,0.0,0.67,c6b11959
A Govorko,Croatia,2024,0,0.0,0.0,0.0,0.0,0.0,a6e4e6f9
A Halbhavi,Luxembourg,2021,0,0.0,0.0,0.0,0.0,0.0,df1b4c8f
