match_id,team1,team2,gender,season,winner
1001349,Australia,Sri Lanka,male,2016/17,Sri Lanka
1001351,Australia,Sri Lanka,male,2016/17,Sri Lanka
1001353,Australia,Sri Lanka,male,2016/17,Australia
1004729,Ireland,Hong Kong,male,2016,Hong Kong
1007655,Zimbabwe,India,male,2016,Zimbabwe
1007657,Zimbabwe,India,male,2016,India
1007659,Zimbabwe,India,male,2016,India
1019979,New Zealand,Bangladesh,male,2016/17,New Zealand
1019981,New Zealand,Bangladesh,male,2016/17,New Zealand
1019983,New Zealand,Bangladesh,male,2016/17,New Zealand
1020029,New Zealand,South Africa,male,2016/17,South Africa
1031431,England,South Africa,male,2017,England
1031433,England,South Africa,male,2017,South Africa
1031435,England,South Africa,male,2017,England
1031665,West Indies,England,male,2017,West Indies
1034825,India,England,male,2016/17,England
1034827,India,England,male,2016/17,India
1034829,India,England,male,2016/17,India
1040485,Afghanistan,Ireland,male,2016/17,Afghanistan
1040487,Afghanistan,Ireland,male,2016/17,Afghanistan
1040489,Afghanistan,Ireland,male,2016/17,Afghanistan
1041615,India,West Indies,male,2016,West Indies
1043989,Australia,New Zealand,female,2016/17,Australia
1043991,Australia,New Zealand,female,2016/17,New Zealand
1043993,Australia,New Zealand,female,2016/17,New Zealand
1044211,Sri Lanka,Australia,female,2016,Australia
1050217,Pakistan,West Indies,male,2016/17,Pakistan
1050219,Pakistan,West Indies,male,2016/17,Pakistan
1050221,Pakistan,West Indies,male,2016/17,Pakistan
1050615,New Zealand,Pakistan,female,2016/17,New Zealand
1065348,India,Pakistan,female,2016/17,India
1072206,United Arab Emirates,Afghanistan,male,2016/17,Afghanistan
1072207,United Arab Emirates,Afghanistan,male,2016/17,Afghanistan
1072208,United Arab Emirates,Afghanistan,male,2016/17,Afghanistan
1072316,New Zealand,Australia,male,2017/18,Australia
1072317,England,Australia,male,2017/18,Australia
1072318,England,Australia,male,2017/18,Australia
1072319,New Zealand,England,male,2017/18,New Zealand
1072320,New Zealand,Australia,male,2017/18,Australia
1072321,England,New Zealand,male,2017/18,England
