player_id,Player,Country,Season,Cum Mat Total,Cum Inns Total,Cum Runs Total,Cum Batting Ave,Cum SR,Cumulative Mat,Cumulative Inns,Cumulative Overs,Cumulative Runs,Cumulative Wkts,Cumulative Econ,Cumulative Mat,Cumulative Inns,Cumulative Dis,Cumulative Ct,Cumulative St,Cumulative D/I
55a5cffb,A Ahmadhel,Bulgaria,2019/20,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
55a5cffb,A Ahmadhel,Bulgaria,2020,3,2,16,8.0,100.0,3,3.0,10.0,75.0,3.0,7.5,3,3.0,0.0,0.0,0.0,0.0
55a5cffb,A Ahmadhel,Bulgaria,2020/21,4,3,24,8.0,100.0,4,4.0,12.0,97.0,4.0,8.38,4,4.0,0.0,0.0,0.0,0.0
55a5cffb,A Ahmadhel,Bulgaria,2021,6,4,26,6.5,82.14,6,6.0,14.400000095367432,124.0,6.0,8.96,6,6.0,0.0,0.0,0.0,0.0
55a5cffb,A Ahmadhel,Bulgaria,2023,9,7,31,4.43,63.42,9,8.0,17.40000009536743,155.0,6.0,9.3,9,9.0,0.0,0.0,0.0,0.0
55a5cffb,A Ahmadhel,Bulgaria,2024,11,7,31,4.43,63.42,11,8.0,17.40000009536743,155.0,6.0,9.3,11,10.0,0.0,0.0,0.0,0.0
14ea3348,A Amado,Israel,2022,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1d45c01a,A Andrews,Switzerland,2021/22,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1d45c01a,A Andrews,Switzerland,2022,3,1,0,0.0,0.0,3,3.0,10.0,61.0,4.0,6.1,3,3.0,4.0,4.0,0.0,1.33
321be7e3,A Ashok,New Zealand,2023,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9244df4b,A Ashokan,Czech Republic,2019/20,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9244df4b,A Ashokan,Czech Republic,2020,2,2,41,20.5,141.37,2,1.0,2.0,16.0,0.0,8.0,2,2.0,1.0,1.0,0.0,0.5
9244df4b,A Ashokan,Czech Republic,2021,6,6,92,15.33,110.08,6,5.0,10.5,113.0,2.0,10.38,6,6.0,3.0,3.0,0.0,0.5
9244df4b,A Ashokan,Czech Republic,2022,13,13,243,23.34,108.88,13,10.0,22.5,217.0,3.0,9.52,13,13.0,6.0,6.0,0.0,0.46
9244df4b,A Ashokan,Czech Republic,2023,28,27,612,30.37,116.41,28,22.0,62.5,528.0,14.0,8.57,28,28.0,11.0,11.0,0.0,0.39
58c2fac4,A Athanaze,West Indies,2024,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
112959b2,A Bagai,Canada,2008,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
112959b2,A Bagai,Canada,2009/10,3,3,24,12.0,92.3,3,0.0,0.0,0.0,0.0,0.0,3,3.0,5.0,2.0,3.0,1.67
112959b2,A Bagai,Canada,2013/14,7,7,169,25.86,107.47,7,0.0,0.0,0.0,0.0,0.0,7,7.0,7.0,3.0,4.0,1.0
6ef13460,A Balbirnie,Ireland,2015,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
6ef13460,A Balbirnie,Ireland,2015/16,7,4,77,19.25,98.71,7,0.0,0.0,0.0,0.0,0.0,7,5.0,1.0,1.0,0.0,0.2
6ef13460,A Balbirnie,Ireland,2018,10,7,84,12.0,75.16,10,0.0,0.0,0.0,0.0,0.0,10,8.0,3.0,3.0,0.0,0.38
6ef13460,A Balbirnie,Ireland,2018/19,16,13,189,14.54,100.29,16,0.0,0.0,0.0,0.0,0.0,16,14.0,5.0,5.0,0.0,0.36
6ef13460,A Balbirnie,Ireland,2019,22,19,366,19.26,114.06,22,0.0,0.0,0.0,0.0,0.0,22,20.0,7.0,7.0,0.0,0.35
6ef13460,A Balbirnie,Ireland,2019/20,26,23,523,25.01,126.35,26,0.0,0.0,0.0,0.0,0.0,26,24.0,10.0,10.0,0.0,0.42
6ef13460,A Balbirnie,Ireland,2021,43,39,945,26.29,124.69,43,0.0,0.0,0.0,0.0,0.0,43,41.0,16.0,16.0,0.0,0.39
6ef13460,A Balbirnie,Ireland,2021/22,51,47,1082,24.73,123.92,51,0.0,0.0,0.0,0.0,0.0,51,49.0,23.0,23.0,0.0,0.47
6ef13460,A Balbirnie,Ireland,2022,67,63,1429,24.74,123.26,67,0.0,0.0,0.0,0.0,0.0,67,65.0,28.0,28.0,0.0,0.43
6ef13460,A Balbirnie,Ireland,2022/23,79,75,1657,23.82,123.05,79,0.0,0.0,0.0,0.0,0.0,79,77.0,30.0,30.0,0.0,0.39
6ef13460,A Balbirnie,Ireland,2023,89,85,1857,23.37,122.25,89,0.0,0.0,0.0,0.0,0.0,89,87.0,32.0,32.0,0.0,0.37
6ef13460,A Balbirnie,Ireland,2023/24,95,91,2041,23.85,122.73,95,0.0,0.0,0.0,0.0,0.0,95,93.0,36.0,36.0,0.0,0.39
6ef13460,A Balbirnie,Ireland,2024,101,97,2170,23.71,122.14,101,0.0,0.0,0.0,0.0,0.0,101,99.0,39.0,39.0,0.0,0.39
a74bbdad,A Bhadauria,Luxembourg,2022,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
906ef9e5,A Bhagwat,Hong Kong,2019/20,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
