match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1333046,2022/23,2022-10-30,"Eden Gardens, Kolkata",1,0.1,Punjab,Haryana,Shubman Gill,Abhishek Sharma,MM Sharma,0,0,,,,,,,,,
1333046,2022/23,2022-10-30,"Eden Gardens, Kolkata",1,0.2,Punjab,Haryana,Shubman Gill,Abhishek Sharma,MM Sharma,0,0,,,,,,,,,
1333046,2022/23,2022-10-30,"Eden Gardens, Kolkata",1,0.3,Punjab,Haryana,Shubman Gill,Abhishek Sharma,MM Sharma,0,0,,,,,,,,,
1333046,2022/23,2022-10-30,"Eden Gardens, Kolkata",1,0.4,Punjab,Haryana,Shubman Gill,Abhishek Sharma,MM Sharma,0,0,,,,,,,,,
1333046,2022/23,2022-10-30,"Eden Gardens, Kolkata",1,0.5,Punjab,Haryana,Shubman Gill,Abhishek Sharma,MM Sharma,0,0,,,,,,,,,
1333046,2022/23,2022-10-30,"Eden Gardens, Kolkata",1,0.6,Punjab,Haryana,Shubman Gill,Abhishek Sharma,MM Sharma,0,0,,,,,,,,,
1333046,2022/23,2022-10-30,"Eden Gardens, Kolkata",1,1.1,Punjab,Haryana,Abhishek Sharma,Shubman Gill,A Kamboj,4,0,,,,,,,,,
1333046,2022/23,2022-10-30,"Eden Gardens, Kolkata",1,1.2,Punjab,Haryana,Abhishek Sharma,Shubman Gill,A Kamboj,0,0,,,,,,,,,
1333046,2022/23,2022-10-30,"Eden Gardens, Kolkata",1,1.3,Punjab,Haryana,Abhishek Sharma,Shubman Gill,A Kamboj,0,0,,,,,,,,,
1333046,2022/23,2022-10-30,"Eden Gardens, Kolkata",1,1.4,Punjab,Haryana,Abhishek Sharma,Shubman Gill,A Kamboj,1,0,,,,,,,,,
1333046,2022/23,2022-10-30,"Eden Gardens, Kolkata",1,1.5,Punjab,Haryana,Shubman Gill,Abhishek Sharma,A Kamboj,0,0,,,,,,,,,
1333046,2022/23,2022-10-30,"Eden Gardens, Kolkata",1,1.6,Punjab,Haryana,Shubman Gill,Abhishek Sharma,A Kamboj,4,0,,,,,,,,,
