version,2.2.0
info,balls_per_over,6
info,team,Afghanistan
info,team,Sri Lanka
info,gender,male
info,season,2023/24
info,date,2024/02/02
info,date,2024/02/03
info,date,2024/02/04
info,date,2024/02/05
info,event,Afghanistan tour of Sri Lanka
info,venue,"Sinhalese Sports Club Ground, Colombo"
info,city,Colombo
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,NGRP Jayasuriya
info,umpire,CM Brown
info,umpire,MA Gough
info,reserve_umpire,RMPJ Rambukwella
info,tv_umpire,AG Wharf
info,match_referee,BC Broad
info,winner,Sri Lanka
info,winner_wickets,10
info,player,Afghanistan,Ibrahim Zadran
info,player,Afghanistan,Noor Ali Zadran
info,player,Afghanistan,Rahmat Shah
info,player,Afghanistan,Hashmatullah Shahidi
info,player,Afghanistan,Nasir Jamal
info,player,Afghanistan,Ikram Alikhil
info,player,Afghanistan,Qais Ahmad
info,player,Afghanistan,Zia-ur-Rehman
info,player,Afghanistan,Nijat Masood
info,player,Afghanistan,Naveed Zadran
info,player,Afghanistan,Mohammad Saleem
info,player,Sri Lanka,CAK Rajitha
info,player,Sri Lanka,KNM Fernando
info,player,Sri Lanka,FDM Karunaratne
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,AD Mathews
info,player,Sri Lanka,LD Chandimal
info,player,Sri Lanka,DM de Silva
info,player,Sri Lanka,S Samarawickrama
info,player,Sri Lanka,C Gunasekara
info,player,Sri Lanka,NGRP Jayasuriya
info,player,Sri Lanka,MVT Fernando
info,player,Sri Lanka,AM Fernando
info,registry,people,AD Mathews,896d78ad
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AM Fernando,de3d549a
info,registry,people,BC Broad,d6a7dd38
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,C Gunasekara,dff2050b
info,registry,people,CAK Rajitha,8012d0b8
info,registry,people,CM Brown,448f4f1c
info,registry,people,DM de Silva,7d608e12
info,registry,people,FDM Karunaratne,400e2d4d
info,registry,people,Hashmatullah Shahidi,c2a46cb4
info,registry,people,Ibrahim Zadran,d4550956
info,registry,people,Ikram Alikhil,f67c958d
info,registry,people,KNM Fernando,d2a2bb1a
info,registry,people,LD Chandimal,8dd02a98
info,registry,people,MA Gough,76752ac8
info,registry,people,MVT Fernando,5eef2118
info,registry,people,Mohammad Saleem,938bff19
info,registry,people,NGRP Jayasuriya,127bc5ca
info,registry,people,Nasir Jamal,b430ec8c
info,registry,people,Naveed Zadran,e6b6d352
info,registry,people,Nijat Masood,a1bf281e
info,registry,people,Noor Ali Zadran,72e46d30
info,registry,people,Qais Ahmad,8d5d991e
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,Rahmat Shah,f9c29fcd
info,registry,people,S Samarawickrama,9ab2914d
info,registry,people,Zia-ur-Rehman,fda22a2e
