team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_player6,team1_player7,team1_player8,team1_player9,team1_player10,team1_player11,team2_players1,team2_players2,team2_players3,team2_players4,team2_players5,team2_players6,team2_players7,team2_players8,team2_players9,team2_players10,team2_players11,match_id
AJ Finch,M Klinger,TM Head,MC Henriques,AJ Turner,JP Faulkner,TD Paine,PJ Cummins,A Zampa,B Stanlake,AJ Tye,N Dickwella,WU Tharanga,EMDY Munaweera,DAS Gunaratne,TAM Siriwardana,CK Kapugedera,S Prasanna,JRMVB Sanjaya,SL Malinga,KMDN Kulasekara,PADLR Sandakan,1001349
M Klinger,AJ Finch,BR Dunk,MC Henriques,TM Head,AJ Turner,JP Faulkner,TD Paine,PJ Cummins,AJ Tye,JA Richardson,N Dickwella,WU Tharanga,EMDY Munaweera,BKG Mendis,DAS Gunaratne,TAM Siriwardana,CK Kapugedera,S Prasanna,KMDN Kulasekara,SL Malinga,JRMVB Sanjaya,1001351
AJ Finch,M Klinger,BR Dunk,TM Head,MC Henriques,AJ Turner,JP Faulkner,TD Paine,PJ Cummins,JA Richardson,A Zampa,EMDY Munaweera,WU Tharanga,BKG Mendis,DAS Gunaratne,TAM Siriwardana,CK Kapugedera,MD Shanaka,S Prasanna,KMDN Kulasekara,SL Malinga,JRMVB Sanjaya,1001353
Nizakat Khan,Aizaz Khan,Babar Hayat,Anshuman Rath,Ehsan Khan,Tanwir Afzal,Shahid Wasif,Tanveer Ahmed,Ehsan Nawaz,Nadeem Ahmed,C Carter,WTS Porterfield,DA Rankin,SP Terry,JNK Shannon,KJ O'Brien,GJ Thompson,AR McBrine,L Tucker,J Mulder,J Little,CA Young,1004729
KL Rahul,Mandeep Singh,AT Rayudu,MK Pandey,KM Jadhav,MS Dhoni,AR Patel,R Dhawan,JJ Bumrah,JD Unadkat,YS Chahal,CJ Chibhabha,H Masakadza,R Mutumbami,Sikandar Raza,MN Waller,CT Mutombodzi,E Chigumbura,AG Cremer,N Madziva,T Muzarabani,DT Tiripano,1007655
KL Rahul,Mandeep Singh,AT Rayudu,MK Pandey,KM Jadhav,MS Dhoni,AR Patel,DS Kulkarni,JJ Bumrah,BB Sran,YS Chahal,CJ Chibhabha,H Masakadza,PJ Moor,Sikandar Raza,CT Mutombodzi,MN Waller,E Chigumbura,AG Cremer,N Madziva,DT Tiripano,T Muzarabani,1007657
KL Rahul,Mandeep Singh,AT Rayudu,MK Pandey,KM Jadhav,MS Dhoni,AR Patel,DS Kulkarni,JJ Bumrah,BB Sran,YS Chahal,CJ Chibhabha,H Masakadza,V Sibanda,PJ Moor,MN Waller,E Chigumbura,T Maruma,AG Cremer,N Madziva,DT Tiripano,TL Chatara,1007659
Tamim Iqbal,Imrul Kayes,Sabbir Rahman,Shakib Al Hasan,Soumya Sarkar,Mahmudullah,Mosaddek Hossain,Mashrafe Mortaza,Nurul Hasan,Rubel Hossain,Mustafizur Rahman,NT Broom,KS Williamson,C Munro,CJ Anderson,TC Bruce,C de Grandhomme,L Ronchi,MJ Santner,BM Wheeler,MJ Henry,LH Ferguson,1019979
Tamim Iqbal,Imrul Kayes,Sabbir Rahman,Shakib Al Hasan,Soumya Sarkar,Mahmudullah,Mosaddek Hossain,Nurul Hasan,Mashrafe Mortaza,Rubel Hossain,Mustafizur Rahman,L Ronchi,KS Williamson,C Munro,CJ Anderson,TC Bruce,C de Grandhomme,JDS Neesham,MJ Santner,BM Wheeler,IS Sodhi,TA Boult,1019981
Tamim Iqbal,Soumya Sarkar,Sabbir Rahman,Shakib Al Hasan,Mahmudullah,Mosaddek Hossain,Nurul Hasan,Rubel Hossain,Imrul Kayes,Mashrafe Mortaza,Taskin Ahmed,KS Williamson,JDS Neesham,C Munro,TC Bruce,CJ Anderson,C de Grandhomme,TA Blundell,MJ Santner,BM Wheeler,TA Boult,IS Sodhi,1019983
