Player,profile_url,player_id
Parvez Rasool,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/parvez-rasool-378496,378496
M Shumba,Not found,Not found
Mominul Haque,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/mominul-haque-373696,373696
DI Allan,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/duncan-allan-472153,472153
Mohammad Naim,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/mohammad-naim-990081,990081
Waqar Zalmai,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/waqar-zalmai-1101791,1101791
KV Morea,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/kabua-morea-524255,524255
Arafat Sunny,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/arafat-sunny-56268,56268
N Pokana,Not found,Not found
SF Nhavotso,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/shelton-nhavotso-1155506,1155506
N Wijesekera,Not found,Not found
Z Bimenyimana,Not found,Not found
E Ul Haq,Not found,Not found
SJ Baard,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/stephan-baard-437927,437927
I Katzarski,Not found,Not found
Anwar Rahman,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/anwar-rahman-568447,568447
DJ Hooda,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/deepak-hooda-497121,497121
MW Forde,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/matthew-forde-1209190,1209190
Mazhar Khan,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/mazhar-khan-30952,30952
JD Newton,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/jason-newton-1323448,1323448
V Baskaran,Not found,Not found
Ehsan Nawaz,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/ehsan-nawaz-718553,718553
IR Bell,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/ian-bell-9062,9062
KA Vimlesh,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/kaka-vimlesh-1392856,1392856
CT Tremlett,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/chris-tremlett-21650,21650
AC Agar,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/andrew-agar-8606,8606
RP Singh,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/rajinder-singh-35132,35132
MN van Wyk,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/morne-van-wyk-47711,47711
A Karn,Not found,Not found
Arslan Naseem,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/arslan-naseem-1274330,1274330
Zuhair Muhammad,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/zuhair-muhammad-1337291,1337291
A Manousis,Not found,Not found
AJ Hosein,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/akeal-hosein-530812,530812
TKP Rajapaksha,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/thiwanka-rajapaksha-1345199,1345199
IGTR Kumara,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/ihala-kumara-1190202,1190202
