Epoch 1/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:13<00:00, 25.58it/s, loss=33.3]
Epoch [1/50], Train Loss: 49.4856, Train Accuracy: 0.5035
Epoch [1/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 2/50: 100%|██████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 46.62it/s, loss=100]
Epoch [2/50], Train Loss: 49.4597, Train Accuracy: 0.5066
Epoch [2/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 3/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 46.79it/s, loss=33.3]
Epoch [3/50], Train Loss: 49.8619, Train Accuracy: 0.5010
Epoch [3/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 4/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 45.20it/s, loss=33.3]
Epoch [4/50], Train Loss: 49.7899, Train Accuracy: 0.5017
Epoch [4/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 5/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 44.85it/s, loss=66.7]
Epoch [5/50], Train Loss: 49.1845, Train Accuracy: 0.5084
Epoch [5/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 6/50: 100%|██████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 44.11it/s, loss=100]
Epoch [6/50], Train Loss: 49.6398, Train Accuracy: 0.5048
Epoch [6/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 7/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 44.30it/s, loss=66.7]
Epoch [7/50], Train Loss: 49.9760, Train Accuracy: 0.5006
Epoch [7/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 8/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 46.81it/s, loss=66.7]
Epoch [8/50], Train Loss: 49.4176, Train Accuracy: 0.5062
Epoch [8/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 9/50: 100%|██████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 44.62it/s, loss=100]
Epoch [9/50], Train Loss: 50.1441, Train Accuracy: 0.4997
Epoch [9/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 10/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 47.46it/s, loss=66.7]
Epoch [10/50], Train Loss: 50.1021, Train Accuracy: 0.4994
Epoch [10/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 11/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 48.23it/s, loss=33.3]
Epoch [11/50], Train Loss: 49.1054, Train Accuracy: 0.5086
Epoch [11/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Early stopping!
