Epoch 1/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:04<00:00, 40.10it/s, loss=33.3]
Epoch [1/50], Train Loss: 50.2494, Train Accuracy: 0.4943
Epoch [1/50], Val Loss: 51.1127, Val Accuracy: 0.4859
Epoch 2/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:04<00:00, 39.32it/s, loss=66.7]
Epoch [2/50], Train Loss: 49.5929, Train Accuracy: 0.5050
Epoch [2/50], Val Loss: 51.1127, Val Accuracy: 0.4859
Epoch 3/50: 100%|██████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 44.19it/s, loss=100]
Epoch [3/50], Train Loss: 50.6825, Train Accuracy: 0.4958
Epoch [3/50], Val Loss: 51.1127, Val Accuracy: 0.4859
Epoch 4/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:04<00:00, 42.29it/s, loss=66.7]
Epoch [4/50], Train Loss: 49.6827, Train Accuracy: 0.5041
Epoch [4/50], Val Loss: 51.1127, Val Accuracy: 0.4859
Epoch 5/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:04<00:00, 41.93it/s, loss=33.3]
Epoch [5/50], Train Loss: 49.5091, Train Accuracy: 0.5041
Epoch [5/50], Val Loss: 51.1127, Val Accuracy: 0.4859
Epoch 6/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:04<00:00, 42.75it/s, loss=0]
Epoch [6/50], Train Loss: 48.7249, Train Accuracy: 0.5102
Epoch [6/50], Val Loss: 51.1127, Val Accuracy: 0.4859
Epoch 7/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 43.55it/s, loss=0]
Epoch [7/50], Train Loss: 50.1616, Train Accuracy: 0.4958
Epoch [7/50], Val Loss: 51.1127, Val Accuracy: 0.4859
Epoch 8/50: 100%|██████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 43.67it/s, loss=100]
Epoch [8/50], Train Loss: 50.8621, Train Accuracy: 0.4940
Epoch [8/50], Val Loss: 51.1127, Val Accuracy: 0.4859
Epoch 9/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 43.76it/s, loss=66.7]
Epoch [9/50], Train Loss: 49.4133, Train Accuracy: 0.5068
Epoch [9/50], Val Loss: 51.1127, Val Accuracy: 0.4859
Epoch 10/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:04<00:00, 43.20it/s, loss=33.3]
Epoch [10/50], Train Loss: 50.0838, Train Accuracy: 0.4983
Epoch [10/50], Val Loss: 51.1127, Val Accuracy: 0.4859
Epoch 11/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 44.10it/s, loss=66.7]
Epoch [11/50], Train Loss: 50.6885, Train Accuracy: 0.4940
Epoch [11/50], Val Loss: 51.1127, Val Accuracy: 0.4859
Early stopping!
