Epoch 1/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 44.12it/s, loss=33.3]
Epoch [1/50], Train Loss: 49.3779, Train Accuracy: 0.5044
Epoch [1/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 2/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 45.38it/s, loss=0]
Epoch [2/50], Train Loss: 49.4780, Train Accuracy: 0.5039
Epoch [2/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 3/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 44.02it/s, loss=0]
Epoch [3/50], Train Loss: 49.5137, Train Accuracy: 0.5037
Epoch [3/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 4/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 43.62it/s, loss=0]
Epoch [4/50], Train Loss: 50.5223, Train Accuracy: 0.4936
Epoch [4/50], Val Loss: 48.6830, Val Accuracy: 0.5141
Epoch 5/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 45.85it/s, loss=66.7]
Epoch [5/50], Train Loss: 49.3097, Train Accuracy: 0.5073
Epoch [5/50], Val Loss: 48.6830, Val Accuracy: 0.5141
Epoch 6/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 45.39it/s, loss=33.3]
Epoch [6/50], Train Loss: 50.3302, Train Accuracy: 0.4963
Epoch [6/50], Val Loss: 48.6830, Val Accuracy: 0.5141
Epoch 7/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 45.40it/s, loss=33.3]
Epoch [7/50], Train Loss: 50.6004, Train Accuracy: 0.4936
Epoch [7/50], Val Loss: 48.6830, Val Accuracy: 0.5141
Epoch 8/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 45.36it/s, loss=33.3]
Epoch [8/50], Train Loss: 50.2403, Train Accuracy: 0.4970
Epoch [8/50], Val Loss: 48.6830, Val Accuracy: 0.5141
Epoch 9/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 43.64it/s, loss=33.3]
Epoch [9/50], Train Loss: 50.2221, Train Accuracy: 0.4974
Epoch [9/50], Val Loss: 48.6830, Val Accuracy: 0.5141
Epoch 10/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 43.61it/s, loss=33.3]
Epoch [10/50], Train Loss: 50.0240, Train Accuracy: 0.4994
Epoch [10/50], Val Loss: 48.6830, Val Accuracy: 0.5141
Epoch 11/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:08<00:00, 43.06it/s, loss=66.7]
Epoch [11/50], Train Loss: 50.2687, Train Accuracy: 0.4974
Epoch [11/50], Val Loss: 48.6830, Val Accuracy: 0.5141
Epoch 12/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 44.05it/s, loss=66.7]
Epoch [12/50], Train Loss: 50.4090, Train Accuracy: 0.4959
Epoch [12/50], Val Loss: 48.6830, Val Accuracy: 0.5141
Epoch 13/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 44.78it/s, loss=66.7]
Epoch [13/50], Train Loss: 50.6424, Train Accuracy: 0.4940
Epoch [13/50], Val Loss: 48.6830, Val Accuracy: 0.5141
Epoch 14/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 45.04it/s, loss=66.7]
Epoch [14/50], Train Loss: 50.1201, Train Accuracy: 0.4992
Epoch [14/50], Val Loss: 48.6830, Val Accuracy: 0.5141
Early stopping!
