Epoch 1/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:04<00:00, 40.30it/s, loss=66.7]
Epoch [1/50], Train Loss: 49.9022, Train Accuracy: 0.4992
Epoch [1/50], Val Loss: 48.8873, Val Accuracy: 0.5141
Epoch 2/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 46.11it/s, loss=66.7]
Epoch [2/50], Train Loss: 49.1439, Train Accuracy: 0.5095
Epoch [2/50], Val Loss: 48.8873, Val Accuracy: 0.5141
Epoch 3/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 45.33it/s, loss=33.3]
Epoch [3/50], Train Loss: 50.2634, Train Accuracy: 0.4965
Epoch [3/50], Val Loss: 48.8873, Val Accuracy: 0.5141
Epoch 4/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 46.95it/s, loss=66.7]
Epoch [4/50], Train Loss: 49.0541, Train Accuracy: 0.5104
Epoch [4/50], Val Loss: 48.8873, Val Accuracy: 0.5141
Epoch 5/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 49.34it/s, loss=66.7]
Epoch [5/50], Train Loss: 50.9938, Train Accuracy: 0.4909
Epoch [5/50], Val Loss: 48.7453, Val Accuracy: 0.5155
Epoch 6/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 45.71it/s, loss=0]
Epoch [6/50], Train Loss: 50.5029, Train Accuracy: 0.4923
Epoch [6/50], Val Loss: 48.8873, Val Accuracy: 0.5141
Epoch 7/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 48.15it/s, loss=0]
Epoch [7/50], Train Loss: 50.8980, Train Accuracy: 0.4884
Epoch [7/50], Val Loss: 48.7453, Val Accuracy: 0.5155
Epoch 8/50: 100%|██████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 48.27it/s, loss=100]
Epoch [8/50], Train Loss: 49.5330, Train Accuracy: 0.5073
Epoch [8/50], Val Loss: 48.8873, Val Accuracy: 0.5141
Epoch 9/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 48.02it/s, loss=66.7]
Epoch [9/50], Train Loss: 50.0239, Train Accuracy: 0.5006
Epoch [9/50], Val Loss: 48.7453, Val Accuracy: 0.5155
Epoch 10/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 48.24it/s, loss=33.3]
Epoch [10/50], Train Loss: 50.4430, Train Accuracy: 0.4947
Epoch [10/50], Val Loss: 48.7453, Val Accuracy: 0.5155
Epoch 11/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 48.67it/s, loss=33.3]
Epoch [11/50], Train Loss: 50.9638, Train Accuracy: 0.4894
Epoch [11/50], Val Loss: 48.6742, Val Accuracy: 0.5162
Epoch 12/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 47.54it/s, loss=66.7]
Epoch [12/50], Train Loss: 49.2337, Train Accuracy: 0.5086
Epoch [12/50], Val Loss: 48.8873, Val Accuracy: 0.5141
Epoch 13/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 45.09it/s, loss=33.3]
Epoch [13/50], Train Loss: 50.6406, Train Accuracy: 0.4927
Epoch [13/50], Val Loss: 48.8873, Val Accuracy: 0.5141
Epoch 14/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:04<00:00, 43.07it/s, loss=66.7]
Epoch [14/50], Train Loss: 50.2574, Train Accuracy: 0.4983
Epoch [14/50], Val Loss: 48.8873, Val Accuracy: 0.5141
Epoch 15/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:04<00:00, 41.23it/s, loss=100]
Epoch [15/50], Train Loss: 49.8384, Train Accuracy: 0.5042
Epoch [15/50], Val Loss: 48.8873, Val Accuracy: 0.5141
Epoch 16/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:04<00:00, 38.15it/s, loss=33.3]
Epoch [16/50], Train Loss: 50.1197, Train Accuracy: 0.4979
Epoch [16/50], Val Loss: 48.8873, Val Accuracy: 0.5141
Epoch 17/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:04<00:00, 38.87it/s, loss=66.7]
Epoch [17/50], Train Loss: 49.7905, Train Accuracy: 0.5030
Epoch [17/50], Val Loss: 48.8873, Val Accuracy: 0.5141
Epoch 18/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:04<00:00, 40.64it/s, loss=33.3]
Epoch [18/50], Train Loss: 50.5508, Train Accuracy: 0.4936
Epoch [18/50], Val Loss: 48.7453, Val Accuracy: 0.5155
Epoch 19/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:04<00:00, 43.45it/s, loss=33.3]
Epoch [19/50], Train Loss: 49.3834, Train Accuracy: 0.5053
Epoch [19/50], Val Loss: 48.8873, Val Accuracy: 0.5141
Epoch 20/50: 100%|███████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:04<00:00, 42.11it/s, loss=0]
Epoch [20/50], Train Loss: 49.8384, Train Accuracy: 0.4990
Epoch [20/50], Val Loss: 48.8873, Val Accuracy: 0.5141
Epoch 21/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 174/174 [00:03<00:00, 45.27it/s, loss=100]
Epoch [21/50], Train Loss: 50.5388, Train Accuracy: 0.4972
Epoch [21/50], Val Loss: 48.8873, Val Accuracy: 0.5141
Early stopping!
