Epoch 1/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:08<00:00, 42.05it/s, loss=66.7]
Epoch [1/50], Train Loss: 49.8339, Train Accuracy: 0.5008
Epoch [1/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 2/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 48.06it/s, loss=0]
Epoch [2/50], Train Loss: 49.4416, Train Accuracy: 0.5044
Epoch [2/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 3/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 48.85it/s, loss=0]
Epoch [3/50], Train Loss: 49.9820, Train Accuracy: 0.4990
Epoch [3/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 4/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 49.09it/s, loss=33.3]
Epoch [4/50], Train Loss: 49.8799, Train Accuracy: 0.5008
Epoch [4/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 5/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 47.63it/s, loss=0]
Epoch [5/50], Train Loss: 50.0180, Train Accuracy: 0.4986
Epoch [5/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 6/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 48.22it/s, loss=33.3]
Epoch [6/50], Train Loss: 50.2402, Train Accuracy: 0.4972
Epoch [6/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 7/50: 100%|██████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 46.88it/s, loss=100]
Epoch [7/50], Train Loss: 50.3422, Train Accuracy: 0.4977
Epoch [7/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 8/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 46.96it/s, loss=0]
Epoch [8/50], Train Loss: 49.1895, Train Accuracy: 0.5070
Epoch [8/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 9/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 46.82it/s, loss=33.3]
Epoch [9/50], Train Loss: 49.8439, Train Accuracy: 0.5012
Epoch [9/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 10/50: 100%|█████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 46.31it/s, loss=100]
Epoch [10/50], Train Loss: 49.9820, Train Accuracy: 0.5014
Epoch [10/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Epoch 11/50: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 347/347 [00:07<00:00, 48.42it/s, loss=33.3]
Epoch [11/50], Train Loss: 49.7899, Train Accuracy: 0.5017
Epoch [11/50], Val Loss: 51.3170, Val Accuracy: 0.4859
Early stopping!
